id,room_id/id,noted_date,temp,out/in,date,date_str
__export__.temp_log_196134_bd201015,Room Admin,08-12-2018 09:30,29,In,2018-12-08,2018-12-08
__export__.temp_log_196131_7bca51bc,Room Admin,08-12-2018 09:30,29,In,2018-12-08,2018-12-08
__export__.temp_log_196126_d30b72fb,Room Admin,08-12-2018 09:29,31,In,2018-12-08,2018-12-08
__export__.temp_log_196125_b0fa0b41,Room Admin,08-12-2018 09:29,31,In,2018-12-08,2018-12-08
__export__.temp_log_196121_01544d45,Room Admin,08-12-2018 09:28,29,In,2018-12-08,2018-12-08
__export__.temp_log_196122_f8b80a9f,Room Admin,08-12-2018 09:28,29,In,2018-12-08,2018-12-08
__export__.temp_log_196111_6b7a0848,Room Admin,08-12-2018 09:26,29,In,2018-12-08,2018-12-08
__export__.temp_log_196112_e134aebd,Room Admin,08-12-2018 09:26,29,In,2018-12-08,2018-12-08
__export__.temp_log_196101_d5ec7633,Room Admin,08-12-2018 09:24,29,In,2018-12-08,2018-12-08
__export__.temp_log_196099_3b8ef67b,Room Admin,08-12-2018 09:24,29,In,2018-12-08,2018-12-08
__export__.temp_log_196095_788b2c27,Room Admin,08-12-2018 09:22,29,In,2018-12-08,2018-12-08
__export__.temp_log_196096_eafb59b6,Room Admin,08-12-2018 09:22,29,In,2018-12-08,2018-12-08
__export__.temp_log_196090_b5f7ca9c,Room Admin,08-12-2018 09:20,29,In,2018-12-08,2018-12-08
__export__.temp_log_196087_e04d9477,Room Admin,08-12-2018 09:20,29,In,2018-12-08,2018-12-08
__export__.temp_log_196082_e025abaa,Room Admin,08-12-2018 09:18,29,In,2018-12-08,2018-12-08
__export__.temp_log_196081_db1796b5,Room Admin,08-12-2018 09:18,29,In,2018-12-08,2018-12-08
__export__.temp_log_196077_d97a0ff1,Room Admin,08-12-2018 09:16,29,In,2018-12-08,2018-12-08
__export__.temp_log_196076_93e253c7,Room Admin,08-12-2018 09:16,29,In,2018-12-08,2018-12-08
__export__.temp_log_196073_6cce2ad3,Room Admin,08-12-2018 09:14,29,In,2018-12-08,2018-12-08
__export__.temp_log_196071_cfb015ff,Room Admin,08-12-2018 09:14,29,In,2018-12-08,2018-12-08
__export__.temp_log_196065_a29349e0,Room Admin,08-12-2018 09:12,29,In,2018-12-08,2018-12-08
__export__.temp_log_196063_5facf520,Room Admin,08-12-2018 09:12,29,In,2018-12-08,2018-12-08
__export__.temp_log_196052_a206be15,Room Admin,08-12-2018 09:08,29,In,2018-12-08,2018-12-08
__export__.temp_log_196050_3c252aff,Room Admin,08-12-2018 09:08,29,In,2018-12-08,2018-12-08
__export__.temp_log_196039_a167c302,Room Admin,08-12-2018 09:05,29,In,2018-12-08,2018-12-08
__export__.temp_log_196037_fdf98314,Room Admin,08-12-2018 09:04,30,In,2018-12-08,2018-12-08
__export__.temp_log_196035_689daecd,Room Admin,08-12-2018 09:04,29,In,2018-12-08,2018-12-08
__export__.temp_log_196033_cec7562b,Room Admin,08-12-2018 09:03,30,In,2018-12-08,2018-12-08
__export__.temp_log_196026_8ad54b4f,Room Admin,08-12-2018 09:01,30,In,2018-12-08,2018-12-08
__export__.temp_log_196022_1b205f24,Room Admin,08-12-2018 09:00,29,In,2018-12-08,2018-12-08
__export__.temp_log_196021_0ed345a9,Room Admin,08-12-2018 09:00,29,In,2018-12-08,2018-12-08
__export__.temp_log_196020_dbaffc92,Room Admin,08-12-2018 08:58,29,In,2018-12-08,2018-12-08
__export__.temp_log_196018_adf4ef79,Room Admin,08-12-2018 08:58,29,In,2018-12-08,2018-12-08
__export__.temp_log_196014_8d2b9031,Room Admin,08-12-2018 08:55,30,In,2018-12-08,2018-12-08
__export__.temp_log_196015_db31e3bc,Room Admin,08-12-2018 08:55,30,In,2018-12-08,2018-12-08
__export__.temp_log_196003_7a23e92c,Room Admin,08-12-2018 08:52,29,In,2018-12-08,2018-12-08
__export__.temp_log_196000_3f2ed7ca,Room Admin,08-12-2018 08:52,29,In,2018-12-08,2018-12-08
__export__.temp_log_195999_728bba0f,Room Admin,08-12-2018 08:51,31,In,2018-12-08,2018-12-08
__export__.temp_log_195994_6650de18,Room Admin,08-12-2018 08:50,29,In,2018-12-08,2018-12-08
__export__.temp_log_195993_ca94691a,Room Admin,08-12-2018 08:50,29,In,2018-12-08,2018-12-08
__export__.temp_log_195983_fec1f952,Room Admin,08-12-2018 08:48,29,In,2018-12-08,2018-12-08
__export__.temp_log_195976_f524a948,Room Admin,08-12-2018 08:46,29,In,2018-12-08,2018-12-08
__export__.temp_log_195977_e1805396,Room Admin,08-12-2018 08:46,29,In,2018-12-08,2018-12-08
__export__.temp_log_195972_db46be7e,Room Admin,08-12-2018 08:42,29,In,2018-12-08,2018-12-08
__export__.temp_log_195969_8f5806db,Room Admin,08-12-2018 08:42,29,In,2018-12-08,2018-12-08
__export__.temp_log_195966_7067918d,Room Admin,08-12-2018 08:41,30,In,2018-12-08,2018-12-08
__export__.temp_log_195967_fd90463b,Room Admin,08-12-2018 08:41,30,In,2018-12-08,2018-12-08
__export__.temp_log_195965_d674087f,Room Admin,08-12-2018 08:40,29,In,2018-12-08,2018-12-08
__export__.temp_log_195964_78b18ce8,Room Admin,08-12-2018 08:40,29,In,2018-12-08,2018-12-08
__export__.temp_log_195960_83b2ac63,Room Admin,08-12-2018 08:38,29,In,2018-12-08,2018-12-08
